Series Name;Series Code;Country Name;Country Code;1990 [YR1990];2000 [YR2000];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017]
Coverage of unemployment benefits and ALMP in richest quintile (% of population);per_lm_alllm.cov_q5_tot;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA building human resources rating (1=low to 6=high);IQ.CPA.HRES.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA business regulatory environment rating (1=low to 6=high);IQ.CPA.BREG.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA debt policy rating (1=low to 6=high);IQ.CPA.DEBT.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA economic management cluster average (1=low to 6=high);IQ.CPA.ECON.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA efficiency of revenue mobilization rating (1=low to 6=high);IQ.CPA.REVN.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA equity of public resource use rating (1=low to 6=high);IQ.CPA.PRES.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA financial sector rating (1=low to 6=high);IQ.CPA.FINS.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA fiscal policy rating (1=low to 6=high);IQ.CPA.FISP.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA gender equality rating (1=low to 6=high);IQ.CPA.GNDR.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA macroeconomic management rating (1=low to 6=high);IQ.CPA.MACR.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA policies for social inclusion/equity cluster average (1=low to 6=high);IQ.CPA.SOCI.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high);IQ.CPA.ENVR.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA property rights and rule-based governance rating (1=low to 6=high);IQ.CPA.PROP.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA public sector management and institutions cluster average (1=low to 6=high);IQ.CPA.PUBS.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA quality of budgetary and financial management rating (1=low to 6=high);IQ.CPA.FINQ.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA quality of public administration rating (1=low to 6=high);IQ.CPA.PADM.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA social protection rating (1=low to 6=high);IQ.CPA.PROT.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA structural policies cluster average (1=low to 6=high);IQ.CPA.STRC.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA trade rating (1=low to 6=high);IQ.CPA.TRAD.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high);IQ.CPA.TRAN.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Crop production index (2004-2006 = 100);AG.PRD.CROP.XD;United States;USA;79,37;94,66;101,07;105,55;105,49;101,47;100,53;108,46;114,33;..;..;..
Currency composition of PPG debt, all other currencies (%);DT.CUR.OTHC.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, Deutsche mark (%);DT.CUR.DMAK.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, Euro (%);DT.CUR.EURO.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, French franc (%);DT.CUR.FFRC.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, Japanese yen (%);DT.CUR.JYEN.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, Multiple currencies (%);DT.CUR.MULC.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, Pound sterling (%);DT.CUR.UKPS.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, SDR (%);DT.CUR.SDRW.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, Swiss franc (%);DT.CUR.SWFR.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Currency composition of PPG debt, U.S. dollars (%);DT.CUR.USDL.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Current account balance (% of GDP);BN.CAB.XOKA.GD.ZS;United States;USA;-1,320358306;-3,922884488;-4,629460909;-2,583596249;-2,878182927;-2,865028484;-2,638132298;-2,094141593;-2,144849589;-2,398376797;-2,425260309;..
Current account balance (BoP, current US$);BN.CAB.XOKA.CD;United States;USA;-78952000000;-4,0346E+11;-6,81391E+11;-3,72522E+11;-4,30702E+11;-4,44593E+11;-4,26197E+11;-3,49544E+11;-3,73796E+11;-4,34603E+11;-4,51692E+11;..
Customs and other import duties (% of tax revenue);GC.TAX.IMPT.ZS;United States;USA;2,693651251;1,504177854;1,926040265;2,015454557;2,217991809;2,141762213;2,110203804;2,008274162;1,948761813;1,871892883;1,850148609;..
Customs and other import duties (current LCU);GC.TAX.IMPT.CN;United States;USA;16810000000;20000000000;29223000000;23062000000;28580000000;31870000000;33481000000;35456000000;37364000000;38124000000;37536000000;..
Death rate, crude (per 1,000 people);SP.DYN.CDRT.IN;United States;USA;8,6;8,5;8,1;7,9;7,995;8,073;8,102;8,215;8,237;8,44;8,4;..
Debt buyback (current US$);DT.DSB.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt forgiveness grants (current US$);DT.DOD.MDRI.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt forgiveness or reduction (current US$);DT.DFR.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt service (PPG and IMF only, % of exports of goods, services and primary income);DT.TDS.DPPF.XP.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt service on external debt, long-term (TDS, current US$);DT.TDS.DLXF.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt service on external debt, private nonguaranteed (PNG) (TDS, current US$);DT.TDS.DPNG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$);DT.TDS.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt service on external debt, total (TDS, current US$);DT.TDS.DECT.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt stock reduction (current US$);DT.DSF.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Debt stock rescheduled (current US$);DT.DXR.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
DEC alternative conversion factor (LCU per US$);PA.NUS.ATLS;United States;USA;1;1;1;1;1;1;1;1;1;1;1;..
Delay in obtaining an electrical connection (days);IC.ELC.DURS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Demand for family planning satisfied by modern methods (% of married women with demand for family planning);SH.FPL.SATM.ZS;United States;USA;86,8;..;86,3;..;83,4;..;..;..;..;..;..;..
Deposit interest rate (%);FR.INR.DPST;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Depositors with commercial banks (per 1,000 adults);FB.CBK.DPTR.P3;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Depth of credit information index (0=low to 8=high);IC.CRD.INFO.XQ;United States;USA;..;..;..;..;..;..;..;8;8;8;8;8
Depth of the food deficit (kilocalories per person per day);SN.ITK.DFCT;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Diabetes prevalence (% of population ages 20 to 79);SH.STA.DIAB.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;10,79
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding);SH.STA.ORCF.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Diarrhea treatment (% of children under 5 who received ORS packet);SH.STA.ORTH;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
"Disaster risk reduction progress score (1-5 scale; 5=best)";EN.CLC.DRSK.XQ;United States;USA;..;..;..;..;..;3,5;..;..;..;..;..;..
Disbursements on external debt, long-term (DIS, current US$);DT.DIS.DLXF.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Disbursements on external debt, long-term + IMF (DIS, current US$);DT.DIS.DLTF.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$);DT.DIS.DPNG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$);DT.DIS.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Discrepancy in expenditure estimate of GDP (constant LCU);NY.GDP.DISC.KN;United States;USA;-37351701000;5753032300;3088257100;-3842600700;-11500000;-606488600;-1172327900;-703364000;-1132178700;2912174000;5532150500;..
Discrepancy in expenditure estimate of GDP (current LCU);NY.GDP.DISC.CN;United States;USA;5400000;-1500000;-4300000;-200000;-11500000;-2800000;200000;1000000;-34506000000;0;-1000000;..
Distance to frontier score (0=lowest performance to 100=frontier);IC.BUS.DFRN.XQ;United States;USA;..;..;..;..;..;..;..;..;..;82,55;82,55;82,54
Documents to export (number);IC.EXP.DOCS;United States;USA;..;..;1,8;1,8;1,8;1,8;1,8;1,8;1,8;..;..;..
Documents to import (number);IC.IMP.DOCS;United States;USA;..;..;3;3;3;3;3;3;3;..;..;..
Domestic credit provided by financial sector (% of GDP);FS.AST.DOMS.GD.ZS;United States;USA;145,2207504;190,9622749;216,777838;234,4034478;231,4302521;231,0259326;233,5178423;247,4622862;250,6013095;235,9546064;241,8912779;..
Domestic credit to private sector (% of GDP);FS.AST.PRVT.GD.ZS;United States;USA;114,4757276;162,0853783;188,0240953;191,8400449;187,211748;177,8536449;179,0648585;192,5294543;194,2316139;188,2037313;192,1654998;..
Domestic credit to private sector by banks (% of GDP);FD.AST.PRVT.GD.ZS;United States;USA;52,57481743;48,81380533;59,75453077;53,09345308;51,70933989;49,80280787;49,51805298;49,18048382;50,07783233;51,58995117;52,99409153;..
Droughts, floods, extreme temperatures (% of population, average 1990-2009);EN.CLC.MDAT.ZS;United States;USA;..;..;..;0,214155723;..;..;..;..;..;..;..;..
Ease of doing business index (1=most business-friendly regulations);IC.BUS.EASE.XQ;United States;USA;..;..;..;..;..;..;..;..;..;..;..;6
EBRD, private nonguaranteed (NFL, current US$);DT.NFL.NEBR.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Electric power consumption (kWh per capita);EG.USE.ELEC.KH.PC;United States;USA;11713,3317;13671,05202;13663,42797;12913,71469;13393,99128;13242,48711;12959,20384;12998,062;12986,7407;..;..;..
Electric power transmission and distribution losses (% of output);EG.ELC.LOSS.ZS;United States;USA;9,26323204;5,691270367;5,666984421;6,258902217;5,993965133;5,998379803;6,292678518;5,955568245;5,911386391;..;..;..
Electricity production from coal sources (% of total);EG.ELC.COAL.ZS;United States;USA;53,06735048;52,89515225;49,10443981;45,4377316;45,79760576;43,34576409;38,47985569;39,94314124;39,65073269;34,34121204;..;..
Electricity production from hydroelectric sources (% of total);EG.ELC.HYRO.ZS;United States;USA;8,528502913;6,289399722;5,911010412;6,616179258;6,023062386;7,43610219;6,521155808;6,317909904;6,053798474;5,899023722;..;..
Electricity production from natural gas sources (% of total);EG.ELC.NGAS.ZS;United States;USA;11,91668074;15,75529356;20,95740713;22,80158304;23,37584166;24,15858976;29,60867118;27,02176802;26,88796144;32,00215651;..;..
Electricity production from nuclear sources (% of total);EG.ELC.NUCL.ZS;United States;USA;19,09537023;19,81472397;19,29099374;19,93112298;19,26644609;18,98484619;18,75791991;19,17383116;19,2302385;19,34597775;..;..
Electricity production from oil sources (% of total);EG.ELC.PETR.ZS;United States;USA;4,079195382;2,943005078;1,330330787;1,211049612;1,104317669;0,913504375;0,774312765;0,859739209;0,923259081;0,894150835;..;..
Electricity production from oil, gas and coal sources (% of total);EG.ELC.FOSL.ZS;United States;USA;69,06322661;71,59345088;71,39217772;69,45036425;70,27776508;68,41785822;68,86283964;67,82464847;67,46195321;67,23751939;..;..
Electricity production from renewable sources, excluding hydroelectric (% of total);EG.ELC.RNWX.ZS;United States;USA;3,000143936;1,91659722;3,092530935;3,675665813;4,097292761;4,789611326;5,486241256;6,320009218;6,900028617;7,17550337;..;..
Electricity production from renewable sources, excluding hydroelectric (kWh);EG.ELC.RNWX.KH;United States;USA;96089000000;77160000000;1,34308E+11;1,53106E+11;1,78411E+11;2,07229E+11;2,34311E+11;2,70946E+11;2,98023E+11;3,07981E+11;..;..
Employers, female (% of female employment) (modeled ILO estimate);SL.EMP.MPYR.FE.ZS;United States;USA;..;2,239000082;2,009000063;2,072000027;2,219000101;2,134000063;2,150000095;2,082999945;2,09800005;2,145999908;2,144000053;2,177999973
Employers, male (% of male employment) (modeled ILO estimate);SL.EMP.MPYR.MA.ZS;United States;USA;..;5,510000229;5,021999836;5,092000008;5,234000206;5,152999878;5,131000042;5,06400013;5,044000149;5,013999939;4,949999809;5,006000042
Employers, total (% of total employment) (modeled ILO estimate);SL.EMP.MPYR.ZS;United States;USA;..;4,020999908;3,631999969;3,678999901;3,825999975;3,753999949;3,757999897;3,691999912;3,688999891;3,697999954;3,661999941;3,709000111
Employment in agriculture (% of total employment) (modeled ILO estimate);SL.AGR.EMPL.ZS;United States;USA;..;1,833999991;1,523000002;1,536999941;1,621000051;1,646000028;1,567999959;1,514000058;1,562000036;1,662999988;1,659999967;1,662999988
Employment in agriculture, female (% of female employment) (modeled ILO estimate);SL.AGR.EMPL.FE.ZS;United States;USA;..;0,953000009;0,773000002;0,759000003;0,834999979;0,859000027;0,845000029;0,776000023;0,811999977;0,864000022;0,884000003;0,883000016
Employment in agriculture, male (% of male employment) (modeled ILO estimate);SL.AGR.EMPL.MA.ZS;United States;USA;..;2,569000006;2,164999962;2,220000029;2,309000015;2,325000048;2,184999943;2,142999887;2,200000048;2,34100008;2,318000078;2,325000048
Employment in industry (% of total employment) (modeled ILO estimate);SL.IND.EMPL.ZS;United States;USA;..;23,3220005;20,31200027;18,88400078;18,47400093;18,57299995;18,5;18,75399971;18,99500084;18,85099983;18,79100037;18,88999939
Employment in industry, female (% of female employment) (modeled ILO estimate);SL.IND.EMPL.FE.ZS;United States;USA;..;12,17399979;9,059000015;8,147000313;7,915999889;8,206000328;8,236000061;8,253000259;8,406999588;8,381999969;8,251000404;8,347000122
Employment in industry, male (% of male employment) (modeled ILO estimate);SL.IND.EMPL.MA.ZS;United States;USA;..;32,63199997;29,95100021;28,31900024;27,72100067;27,52599907;27,26399994;27,7159996;28,01499939;27,7329998;27,72800064;27,81699944
Employment in services (% of total employment) (modeled ILO estimate);SL.SRV.EMPL.ZS;United States;USA;..;74,84400177;78,16600037;79,58000183;79,90599823;79,78099823;79,93299866;79,73200226;79,44300079;79,48600006;79,5490036;79,44599915
Employment in services, female (% of female employment) (modeled ILO estimate);SL.SRV.EMPL.FE.ZS;United States;USA;..;86,8730011;90,16799927;91,09400177;91,25;90,93499756;90,91999817;90,97100067;90,78099823;90,7539978;90,86499786;90,77100372
Employment in services, male (% of male employment) (modeled ILO estimate);SL.SRV.EMPL.MA.ZS;United States;USA;..;64,79799652;67,88400269;69,46099854;69,97000122;70,14800262;70,5510025;70,14099884;69,78399658;69,9260025;69,95300293;69,85800171
Employment to population ratio, 15+, female (%) (modeled ILO estimate);SL.EMP.TOTL.SP.FE.ZS;United States;USA;..;56,60699844;55,29899979;53,4659996;52,55500031;52,11000061;52,22700119;52,30699921;52,70800018;52,94300079;53,30799866;53,29499817
Employment to population ratio, 15+, female (%) (national estimate);SL.EMP.TOTL.SP.FE.NE.ZS;United States;USA;54,34999847;57,49000168;56,25;54,41999817;53,56999969;53,18999863;53,13000107;53,15999985;53,52000046;53,74000168;54,08000183;54,58000183
Employment to population ratio, 15+, male (%) (modeled ILO estimate);SL.EMP.TOTL.SP.MA.ZS;United States;USA;..;71,33000183;67,41799927;63,49700165;62,58000183;62,86100006;63,64400101;63,72100067;64,25099945;64,75499725;65,17199707;65,20200348
Employment to population ratio, 15+, male (%) (national estimate);SL.EMP.TOTL.SP.MA.NE.ZS;United States;USA;72,04000092;71,88999939;68,5;64,55000305;63,68999863;63,86999893;64,38999939;64,40000153;64,87999725;65,33999634;65,76999664;66,02999878
Employment to population ratio, 15+, total (%) (modeled ILO estimate);SL.EMP.TOTL.SP.ZS;United States;USA;..;63,77999878;61,22700119;58,37400055;57,4620018;57,37599945;57,8219986;57,90299988;58,36999893;58,74000168;59,13299942;59,14400101
Employment to population ratio, 15+, total (%) (national estimate);SL.EMP.TOTL.SP.NE.ZS;United States;USA;62,79999924;64,40000153;62,18000031;59,31999969;58,47000122;58,36999893;58,56000137;58,58000183;59,00999832;59,34000015;59,72999954;60,11000061
Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate);SL.EMP.1524.SP.FE.ZS;United States;USA;..;54,7159996;47,12099838;43,83800125;41,73199844;41,48500061;42,06900024;42,75699997;43,78099823;44,94400024;45,77399826;45,77899933
Employment to population ratio, ages 15-24, female (%) (national estimate);SL.EMP.1524.SP.FE.NE.ZS;United States;USA;56,13000107;57,38000107;50,18000031;47,00999832;45,06999969;44,90000153;45,40000153;46,02999878;47,06000137;48,20000076;48,75999832;49,88000107
Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate);SL.EMP.1524.SP.MA.ZS;United States;USA;..;58,92399979;48,73400116;43,47399902;41,50699997;42,31100082;43,11100006;43,59700012;44,83000183;45,79800034;46,92300034;47,0340004
Employment to population ratio, ages 15-24, male (%) (national estimate);SL.EMP.1524.SP.MA.NE.ZS;United States;USA;63,47000122;61,91999817;52,25999832;46,70000076;44,93000031;45,99000168;46,56000137;46,95000076;48,20999908;49;50,04999924;50,79999924
Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate);SL.EMP.1524.SP.ZS;United States;USA;..;56,86800003;47,9469986;43,65200043;41,61600113;41,90800095;42,60300064;43,18700027;44,31700134;45,38000107;46,36100006;46,41999817
Employment to population ratio, ages 15-24, total (%) (national estimate);SL.EMP.1524.SP.NE.ZS;United States;USA;59,79000092;59,65999985;51,22999954;46,84999847;45;45,45000076;45,97999954;46,49000168;47,63999939;48,59999847;49,40999985;50,34000015
Energy imports, net (% of energy use);EG.IMP.CONS.ZS;United States;USA;13,70963091;26,65941959;25,26407137;22,1249837;22,2092009;18,55497676;15,69172909;13,94343151;9,214465501;7,308743455;..;..
Energy intensity level of primary energy (MJ/$2011 PPP GDP);EG.EGY.PRIM.PP.KD;United States;USA;8,666576704;7,335371396;6,22245169;6,084563271;6,072479221;5,90983675;5,692995246;5,676035631;5,621145713;5,40839254;..;..
Energy related methane emissions (% of total);EN.ATM.METH.EG.ZS;United States;USA;39,58085917;42,26932132;40,07050124;..;..;..;..;..;..;..;..;..
Energy use (kg of oil equivalent per capita);EG.USE.PCAP.KG.OE;United States;USA;7671,773066;8056,86385;7488,081921;7056,783653;7160,939243;7028,152876;6869,385326;6902,43283;6956,813731;6800,654493;..;..
Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP);EG.USE.COMM.GD.PP.KD;United States;USA;206,9976284;175,2023358;148,6207053;145,327297;145,0386744;141,1540257;135,9748554;135,3193732;133,9610584;128,243355;..;..
Exclusive breastfeeding (% of children under 6 months);SH.STA.BFED.ZS;United States;USA;..;..;..;..;..;..;24,4;..;..;..;..;..
Expense (% of GDP);GC.XPN.TOTL.GD.ZS;United States;USA;21,49963819;17,86756915;22,88219069;25,677828;26,22545069;25,50614045;24,12449695;23,18344702;22,89163132;22,67806887;22,73207701;..
Expense (current LCU);GC.XPN.TOTL.CN;United States;USA;1,28559E+12;1,83764E+12;3,36793E+12;3,70242E+12;3,92447E+12;3,95802E+12;3,89737E+12;3,86967E+12;3,98946E+12;4,10943E+12;4,23373E+12;..
Export value index (2000 = 100);TX.VAL.MRCH.XD.WD;United States;USA;59,50854593;100;164,6517921;135,058024;163,5075545;189,5989093;197,6809589;202,0151602;207,2508754;192,1649329;186,0306196;..
Export volume index (2000 = 100);TX.QTY.MRCH.XD.WD;United States;USA;52,20047888;100;133,7821023;115,0409748;132,7980686;142,2984424;148,0578946;151,886463;156,9500533;155,2834376;155,0390891;..
Exports as a capacity to import (constant LCU);NY.EXP.CAPM.KN;United States;USA;6,68996E+11;1,36816E+12;1,7464E+12;1,67982E+12;1,85234E+12;1,95586E+12;2,02812E+12;2,11965E+12;2,21768E+12;2,29608E+12;2,31774E+12;..
Exports of goods and services (% of GDP);NE.EXP.GNFS.ZS;United States;USA;9,229296529;10,66464335;12,51439847;11,01165643;12,37830094;13,57379201;13,6066085;13,63931151;13,62004392;12,49904391;11,89062242;..
Exports of goods and services (annual % growth);NE.EXP.GNFS.KD.ZG;United States;USA;8,821250667;8,565476159;5,735664043;-8,793789794;11,89450594;6,851152583;3,417326038;3,481325638;4,274565745;0,409985614;-0,328764881;..
Exports of goods and services (BoP, current US$);BX.GSR.GNFS.CD;United States;USA;5,35258E+11;1,07532E+12;1,84161E+12;1,58305E+12;1,8536E+12;2,12702E+12;2,21899E+12;2,29345E+12;2,3759E+12;2,26391E+12;2,20807E+12;..
Exports of goods and services (constant 2010 US$);NE.EXP.GNFS.KD;United States;USA;6,72469E+11;1,31208E+12;1,81504E+12;1,65543E+12;1,85234E+12;1,97924E+12;2,04688E+12;2,11814E+12;2,20868E+12;2,21773E+12;2,21044E+12;..
Exports of goods and services (constant LCU);NE.EXP.GNFS.KN;United States;USA;6,72469E+11;1,31208E+12;1,81504E+12;1,65543E+12;1,85234E+12;1,97924E+12;2,04688E+12;2,11814E+12;2,20868E+12;2,21773E+12;2,21044E+12;..
Exports of goods and services (current LCU);NE.EXP.GNFS.CN;United States;USA;5,51874E+11;1,09684E+12;1,84194E+12;1,58774E+12;1,85234E+12;2,10637E+12;2,19818E+12;2,27661E+12;2,37365E+12;2,26492E+12;2,21457E+12;..
Exports of goods and services (current US$);NE.EXP.GNFS.CD;United States;USA;5,51874E+11;1,09684E+12;1,84194E+12;1,58774E+12;1,85234E+12;2,10637E+12;2,19818E+12;2,27661E+12;2,37365E+12;2,26492E+12;2,21457E+12;..
Exports of goods, services and primary income (BoP, current US$);BX.GSR.TOTL.CD;United States;USA;7,07008E+11;1,43203E+12;2,65718E+12;2,1963E+12;2,53377E+12;2,88296E+12;2,98696E+12;3,08627E+12;3,19325E+12;3,04689E+12;3,02204E+12;..
External balance on goods and services (% of GDP);NE.RSB.GNFS.ZS;United States;USA;-1,302012563;-3,653894751;-4,912613185;-2,742514446;-3,425850413;-3,737580653;-3,501410532;-2,947635017;-2,923573739;-2,891950063;-2,798677547;..
External balance on goods and services (constant LCU);NE.RSB.GNFS.KN;United States;USA;-65914511900;-4,36664E+11;-5,07321E+11;-3,56406E+11;-4,14064E+11;-4,13523E+11;-4,06513E+11;-3,75903E+11;..;..;..;..
External balance on goods and services (current LCU);NE.RSB.GNFS.CN;United States;USA;-77855000000;-3,75795E+11;-7,23067E+11;-3,95436E+11;-5,12657E+11;-5,79995E+11;-5,65662E+11;-4,92005E+11;-5,09509E+11;-5,24042E+11;-5,21239E+11;..
External balance on goods and services (current US$);NE.RSB.GNFS.CD;United States;USA;-77855000000;-3,75795E+11;-7,23067E+11;-3,95436E+11;-5,12657E+11;-5,79995E+11;-5,65662E+11;-4,92005E+11;-5,09509E+11;-5,24042E+11;-5,21239E+11;..
External debt stocks (% of exports of goods, services and primary income);DT.DOD.DECT.EX.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks (% of GNI);DT.DOD.DECT.GN.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, concessional (DOD, current US$);DT.DOD.ALLC.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, long-term (DOD, current US$);DT.DOD.DLXF.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, long-term private sector (DOD, current US$);DT.DOD.PRVS.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, long-term public sector (DOD, current US$);DT.DOD.PUBS.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, private nonguaranteed (PNG) (DOD, current US$);DT.DOD.DPNG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$);DT.DOD.DPPG.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, short-term (DOD, current US$);DT.DOD.DSTC.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, total (DOD, current US$);DT.DOD.DECT.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
External debt stocks, variable rate (DOD, current US$);DT.DOD.VTOT.CD;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Female genital mutilation prevalence (%);SH.STA.FGMS.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Female headed households (% of households with a female head);SP.HOU.FEMA.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Female share of employment in senior and middle management (%);SL.EMP.SMGT.FE.ZS;United States;USA;..;..;..;..;..;..;..;..;..;..;..;..
Fertility rate, total (births per woman);SP.DYN.TFRT.IN;United States;USA;2,081;2,056;2,072;2,002;1,931;1,8945;1,8805;1,8575;1,8625;1,8435;1,8;..
Fertilizer consumption (% of fertilizer production);AG.CON.FERT.PT.ZS;United States;USA;..;..;78,69294789;81,23775604;82,4384146;87,8588182;89,86316049;121,6157687;128,3100312;124,1821618;123,5603638;..
Fertilizer consumption (kilograms per hectare of arable land);AG.CON.FERT.ZS;United States;USA;..;..;112,4273202;108,492815;117,1244153;132,3323903;132,587412;137,8995045;135,6514516;137,0272785;..;..
Final consumption expenditure (constant 2010 US$);NE.CON.TOTL.KD;United States;USA;7,53493E+12;1,03634E+13;1,26019E+13;1,25288E+13;1,27244E+13;1,28881E+13;1,30186E+13;1,31155E+13;1,34118E+13;1,38452E+13;1,4181E+13;..
Final consumption expenditure (constant LCU);NE.CON.TOTL.KN;United States;USA;7,53493E+12;1,03634E+13;1,26019E+13;1,25288E+13;1,27244E+13;1,28881E+13;1,30186E+13;1,31155E+13;1,34118E+13;1,38452E+13;1,4181E+13;..
Final consumption expenditure (current LCU);NE.CON.TOTL.CN;United States;USA;4,77362E+12;8,23656E+12;1,23822E+13;1,2289E+13;1,27244E+13;1,32202E+13;1,35948E+13;1,38849E+13;1,44264E+13;1,49431E+13;1,54788E+13;..
Final consumption expenditure (current US$);NE.CON.TOTL.CD;United States;USA;4,77362E+12;8,23656E+12;1,23822E+13;1,2289E+13;1,27244E+13;1,32202E+13;1,35948E+13;1,38849E+13;1,44264E+13;1,49431E+13;1,54788E+13;..
Final consumption expenditure, etc. (% of GDP);NE.CON.TETC.ZS;United States;USA;79,83201856;80,08496925;84,12636965;85,22958145;85,0312529;85,19282474;84,15080418;83,18537494;82,58077169;82,46395258;83,10989169;..
Final consumption expenditure, etc. (annual % growth);NE.CON.TETC.KD.ZG;United States;USA;2,176114378;4,507952389;0,165742581;-0,635469232;1,592587877;1,28155819;1,008323241;0,748026686;2,256234966;3,262030583;2,443604514;..
